StationID,Taxa,Abundance,Spell Checker
SoCal,Boccardiella hamata,1,Correct
SoCal,Capitella capitata Cmplx,1,Correct
SoCal,Grandidierella japonica,1,Correct
SoCal,Monocorophium acherusicum,1,Correct
SoCal,Monocorophium insidiosum,1,Correct
SoCal,Paraonella platybranchia,1,Correct
SoCal,Pseudopolydora kempi,1,Correct
SoCal,Pseudopolydora paucibranchiata,1,Correct
SoCal,Scolelepis (Parascolelpis) sp,1,Correct
SoCal,Spio maculata,1,Correct
SoCal,Streblospio benedicti,1,Correct
SoCal,Tagelus subteres,1,Correct
SoCal,Turbellaria,1,Correct
SoCal,Armandia brevis,1,Correct
SoCal,Bulla gouldiana,1,Correct
SoCal,Cooperella subdiaphana,1,Correct
SoCal,Cryptomya californica,1,Correct
SoCal,Haminoea vesicula,1,Correct
SoCal,Hemigrapsus oregonensis,1,Correct
SoCal,Laevicardium substriatum,1,Correct
SoCal,Leptopecten latiauratus,1,Correct
SoCal,Lineidae,1,Correct
SoCal,Mediomastus sp,1,Correct
SoCal,Nereis procera,1,Correct
SoCal,Phoronida,1,Correct
SoCal,Platynereis bicanaliculata,1,Correct
SoCal,Polyophthalmus pictus,1,Correct
SoCal,Prionospio (Prionospio) heterobranchia,1,Correct
SoCal,Protothaca sp,1,Correct
SoCal,Spiophanes duplex,1,Correct
SoCal,Tryonia sp,1,Correct
SoCal,Ampithoe lacertosa,1,Correct
SoCal,Caprella natalensis,1,Correct
SoCal,Chone minuta,1,Correct
SoCal,Cirratulus sp,1,Correct
SoCal,Cirriformia sp,1,Correct
SoCal,Cossura candida,1,Correct
SoCal,Dorvillea (Schistomeringos) sp,1,Correct
SoCal,Euchone limnicola,1,Correct
SoCal,Euphilomedes carcharodonta,1,Correct
SoCal,Exogone lourei,1,Correct
SoCal,Gnorimosphaeroma oregonense,1,Correct
SoCal,Harmothoe imbricata Cmplx,1,Correct
SoCal,Monticellina siblina,1,Correct
SoCal,Musculista senhousia,1,Correct
SoCal,Neanthes acuminata Cmplx,1,Correct
SoCal,Nebalia pugettensis Cmplx,1,Correct
SoCal,Notomastus sp,1,Correct
SoCal,Oligochaeta,1,Correct
SoCal,Paracerceis sculpta,1,Correct
SoCal,Pista percyi,1,Correct
SoCal,Scoletoma sp C,1,Correct
SoCal,Spiophanes berkeleyorum,1,Correct
SoCal,Syllis (Typosyllis) nipponica,1,Correct
SoCal,Synaptotanais notabilis,1,Correct
SoCal,Theora lubrica,1,Correct
SoCal,Tubulanus sp,1,Correct
SoCal,Alpheus californiensis,1,Correct
SoCal,Amphideutopus oculatus,1,Correct
SoCal,Amphipholis squamata,1,Correct
SoCal,Apoprionospio pygmaea,1,Correct
SoCal,Ceriantharia,1,Correct
SoCal,Chaetozone corona,1,Correct
SoCal,Cossura sp A,1,Correct
SoCal,Diplocirrus sp SD1,1,Correct
SoCal,Eochelidium sp A,1,Correct
SoCal,Heteroserolis carinata,1,Correct
SoCal,Leitoscoloplos pugettensis,1,Correct
SoCal,Leptosynapta sp,1,Correct
SoCal,Lyonsia californica,1,Correct
SoCal,Macoma nasuta,1,Correct
SoCal,Mactromeris sp,1,Correct
SoCal,Maldanidae,1,Correct
SoCal,Monticellina cryptica,1,Correct
SoCal,Nephtys caecoides,1,Correct
SoCal,Paramicrodeutopus schmitti,1,Correct
SoCal,Paranthura elegans,1,Correct
SoCal,Paraprionospio pinnata,1,Correct
SoCal,Periploma discus,1,Correct
SoCal,Postasterope barnesi,1,Correct
SoCal,Prionospio (Minuspio) lighti,1,Correct
SoCal,Pyromaia tuberculata,1,Correct
SoCal,Scleroplax granulata,1,Correct
SoCal,Sinocorophium heteroceratum,1,Correct
SoCal,Streblosoma sp,1,Correct
SoCal,Acteocina inculta,1,Correct
SoCal,Ampharete labrops,1,Correct
SoCal,Amphiodia sp,1,Correct
SoCal,Anoplodactylus erectus,1,Correct
SoCal,Barleeia sp,1,Correct
SoCal,Caecum crebricinctum,1,Correct
SoCal,Crucibulum spinosum,1,Correct
SoCal,Decamastus gracilis,1,Correct
SoCal,Diopatra ornata,1,Correct
SoCal,Diopatra splendidissima,1,Correct
SoCal,Enteropneusta,1,Correct
SoCal,Exogone breviseta,1,Correct
SoCal,Exogone dwisula,1,Correct
SoCal,Glycera americana,1,Correct
SoCal,Hartmanodes hartmanae,1,Correct
SoCal,Hiatella arctica,1,Correct
SoCal,Leptochelia dubia,1,Correct
SoCal,Lumbrineris cruzensis,1,Correct
SoCal,Lumbrineris latreilli,1,Correct
SoCal,Mactrotoma californica,1,Correct
SoCal,Megalomma pigmentum,1,Correct
SoCal,Melinna sp,1,Correct
SoCal,Nemertea,1,Correct
SoCal,Nephasoma sp,1,Correct
SoCal,Odontosyllis phosphorea,1,Correct
SoCal,Olivella baetica,1,Correct
SoCal,Oxyurostylis pacifica,1,Correct
SoCal,Philine sp,1,Correct
SoCal,Podocerus fulanus,1,Correct
SoCal,Polycirrus sp,1,Correct
SoCal,Protodorvillea gracilis,1,Correct
SoCal,Saxidomus nuttalli,1,Correct
SoCal,Scoloplos acmeceps,1,Correct
SoCal,Siphonodentalium quadrifissatum,1,Correct
SoCal,Solen rostriformis,1,Correct
SoCal,Spiophanes bombyx,1,Correct
SoCal,Thracia sp,1,Correct
SoCal,Tresus sp,1,Correct
SoCal,Turbonilla sp,1,Correct
SoCal,Asthenothaerus diegensis,1,Correct
SoCal,Caprella californica,1,Correct
SoCal,Ericthonius brasiliensis,1,Correct
SoCal,Eteone sp,1,Correct
SoCal,Fabricinuda limnicola,1,Correct
SoCal,Halcampidae,1,Correct
SoCal,Heterophoxus ellisi,1,Correct
