"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","NIT"
"B03-3001",1-01-01,1,41,3,11,29,0,0,0,0
"B03-4000",1-01-01,1,64,8,17,55,0,0,0,0
"B03-4001",1-01-01,1,6,0,0,0,0,0,0,0
"B03-4002",1-01-01,1,13,1,4,182,2,0,0,-0.1
"B03-4003",1-01-01,1,35,2,15,67,0,0,0,0
"B03-4004",1-01-01,1,36,5,2,3,0,0,0,0
"B03-4005",1-01-01,1,4,0,0,0,0,0,0,0
"B03-4006",1-01-01,1,61,6,13,27,0,0,0,0
"B03-4007",1-01-01,1,9,0,1,1,0,0,0,0
"B03-4008",1-01-01,1,25,11,3,240,20,0,0,0
"B03-4009",1-01-01,1,6,0,0,0,0,0,0,0
"B03-4010",1-01-01,1,34,2,10,561,0,0,0,-0.2
"B03-4012",1-01-01,1,49,15,7,9,0,0,0,0
"B03-4015",1-01-01,1,55,7,12,28,0,0,0,0
"B03-4017",1-01-01,1,19,6,4,295,0,0,0,-0.2
"B03-4018",1-01-01,1,43,6,13,123,0,0,0,0
"B03-4019",1-01-01,1,33,6,5,7,0,0,0,0
"B03-4020",1-01-01,1,85,25,9,45,0,0,0,0
"B03-4021",1-01-01,1,84,4,18,75,0,0,0,0
"B03-4022",1-01-01,1,80,17,14,33,0,1,0,0
"B03-4023",1-01-01,1,34,8,4,4,0,0,0,0
"B03-4024",1-01-01,1,18,4,1,1,0,0,0,0
"B03-4025",1-01-01,1,1,0,0,0,0,0,0,0
"B03-4026",1-01-01,1,47,4,11,50,0,0,0,0
"B03-4027",1-01-01,1,86,9,11,16,0,0,0,0
"B03-4028",1-01-01,1,54,8,17,306,1,3,0,-0.1
"B03-4029",1-01-01,1,79,5,19,116,0,0,0,-0.1
"B03-4030",1-01-01,1,80,14,16,47,0,0,0,-0.1
"B03-4032",1-01-01,1,8,3,0,0,0,0,0,-0.2
"B03-4033",1-01-01,1,15,3,6,186,0,0,0,-0.1
"B03-4034",1-01-01,1,29,3,6,62,0,0,1,-0.2
"B03-4035",1-01-01,1,25,3,4,6,0,0,0,0
"B03-4036",1-01-01,1,83,12,18,52,0,0,0,0
"B03-4037",1-01-01,1,51,8,10,24,0,0,0,0
"B03-4038",1-01-01,1,35,6,6,14,0,0,0,0
"B03-4039",1-01-01,1,6,0,1,2,0,0,0,0
"B03-4040",1-01-01,1,55,13,8,11,0,0,0,0
"B03-4041",1-01-01,1,69,13,15,37,0,0,0,0
"B03-4042",1-01-01,1,97,15,17,57,0,0,0,-0.1
"B03-4043",1-01-01,1,40,11,4,64,0,0,2,0
"B03-4045",1-01-01,1,66,10,13,43,0,0,0,0
"B03-4047",1-01-01,1,64,11,12,28,0,0,0,0
"B03-4048",1-01-01,1,58,8,14,30,0,0,0,-0.1
"B03-4049",1-01-01,1,16,6,5,11,0,0,0,-0.1
"B03-4050",1-01-01,1,40,13,5,7,0,0,0,0
"B03-4051",1-01-01,1,74,9,11,21,0,0,0,-0.2
"B03-4052",1-01-01,1,26,3,5,11,0,0,0,-0.1
"B03-4053",1-01-01,1,35,5,9,11156,9818,0,0,-0.2
"B03-4055",1-01-01,1,44,6,7,12,0,0,0,0
"B03-4057",1-01-01,1,42,7,9,24,0,0,0,0
"B03-4058",1-01-01,1,76,13,16,54,0,0,0,0
"B03-4060",1-01-01,1,3,0,1,1,0,0,0,0
"B03-4061",1-01-01,1,46,3,19,43,0,0,0,0
"B03-4062",1-01-01,1,50,8,11,18,0,0,1,0
"B03-4064",1-01-01,1,85,11,19,57,0,0,0,0
"B03-4065",1-01-01,1,59,16,7,193,0,0,0,-0.2
"B03-4066",1-01-01,1,6,1,0,0,0,0,0,0
"B03-4067",1-01-01,1,39,3,11,31,0,0,0,0
"B03-4068",1-01-01,1,39,4,8,12,0,0,0,0
"B03-4069",1-01-01,1,78,12,25,93,0,0,0,0
"B03-4070",1-01-01,1,63,10,8,12,0,0,0,-0.1
"B03-4071",1-01-01,1,10,0,3,4,0,0,0,0
"B03-4072",1-01-01,1,19,7,3,168,0,0,0,0
"B03-4073",1-01-01,1,98,15,22,69,0,0,0,0
"B03-4074",1-01-01,1,8,0,0,0,0,0,0,0
"B03-4075",1-01-01,1,27,5,7,1132,3,0,0,-0.2
"B03-4076",1-01-01,1,36,2,17,258,0,0,0,-0.1
"B03-4077",1-01-01,1,88,12,11,54,0,0,0,-0.1
"B03-4079",1-01-01,1,42,8,6,7,0,0,0,0
"B03-4080",1-01-01,1,51,7,9,20,0,0,0,0
"B03-4083",1-01-01,1,14,1,4,5,0,0,0,0
"B03-4084",1-01-01,1,34,6,8,51,0,0,0,0
"B03-4085",1-01-01,1,44,7,6,83,0,1,15,0
"B03-4086",1-01-01,1,73,11,14,25,0,0,0,0
"B03-4087",1-01-01,1,20,4,4,844,0,0,0,-0.2
"B03-4088",1-01-01,1,6,1,1,1,0,0,0,0
"B03-4089",1-01-01,1,65,12,10,28,0,0,0,0
"B03-4090",1-01-01,1,71,11,14,44,0,0,0,0
"B03-4091",1-01-01,1,4,0,1,1,0,0,0,0
"B03-4092",1-01-01,1,53,8,14,147,0,1,3,0
"B03-4093",1-01-01,1,18,6,1,2,0,0,0,0
"B03-4094",1-01-01,1,69,15,16,47,0,0,0,0
"B03-4096",1-01-01,1,63,6,15,57,0,0,0,0
"B03-4097",1-01-01,1,36,5,8,78,0,0,0,-0.1
"B03-4098",1-01-01,1,50,11,10,26,0,0,0,0
"B03-4099",1-01-01,1,23,3,3,4,0,0,0,0
"B03-4100",1-01-01,1,8,1,2,2,0,0,0,0
"B03-4101",1-01-01,1,92,10,23,93,0,0,0,0
"B03-4102",1-01-01,1,50,9,5,27,0,0,0,-0.1
"B03-4103",1-01-01,1,58,9,12,22,0,0,0,0
"B03-4104",1-01-01,1,38,9,8,1685,3,0,0,-0.2
"B03-4106",1-01-01,1,10,0,2,11,0,0,0,0
"B03-4108",1-01-01,1,30,4,7,16,0,0,0,-0.1
"B03-4109",1-01-01,1,74,9,17,142,0,0,0,0
"B03-4110",1-01-01,1,47,6,6,18,0,0,0,0
"B03-4111",1-01-01,1,26,2,6,6,0,0,0,0
"B03-4113",1-01-01,1,74,11,14,54,0,0,0,0
"B03-4115",1-01-01,1,67,10,7,16,0,0,0,-0.1
"B03-4116",1-01-01,1,50,7,17,148,0,0,0,-0.1
"B03-4117",1-01-01,1,14,1,4,15,0,0,0,0
"B03-4118",1-01-01,1,74,18,13,729,0,0,0,-0.2
"B03-4119",1-01-01,1,73,8,19,40,0,0,0,0
"B03-4120",1-01-01,1,34,8,6,8,0,0,0,0
"B03-4121",1-01-01,1,3,1,0,0,0,0,0,0
"B03-4122",1-01-01,1,67,5,15,89,0,0,0,0
"B03-4123",1-01-01,1,67,14,14,29,0,0,0,0
"B03-4124",1-01-01,1,7,0,0,0,0,0,0,0
"B03-4125",1-01-01,1,13,1,3,11,0,0,0,0
"B03-4126",1-01-01,1,50,10,7,13,0,0,0,0
"B03-4128",1-01-01,1,45,6,14,34,0,0,0,0
"B03-4129",1-01-01,1,34,8,8,51,0,0,0,-0.1
"B03-4130",1-01-01,1,84,14,21,1678,0,0,1,-0.2
"B03-4131",1-01-01,1,31,2,9,42,0,0,0,-0.1
"B03-4132",1-01-01,1,11,1,0,0,0,0,0,0
"B03-4133",1-01-01,1,9,1,0,0,0,0,0,0
"B03-4134",1-01-01,1,64,6,6,13,0,0,0,0
"B03-4135",1-01-01,1,8,0,2,3,0,0,0,0
"B03-4137",1-01-01,1,64,13,12,88,0,0,0,-0.1
"B03-4138",1-01-01,1,30,5,4,5,0,0,0,0
"B03-4140",1-01-01,1,29,5,9,92,0,0,0,0
"B03-4141",1-01-01,1,83,12,18,63,0,0,0,0
"B03-4142",1-01-01,1,20,0,4,8,1,0,0,-0.1
"B03-4143",1-01-01,1,42,2,8,20,0,0,0,0
"B03-4144",1-01-01,1,27,1,1,4,0,0,0,0
"B03-4145",1-01-01,1,1,1,0,0,0,0,0,0
"B03-4146",1-01-01,1,95,25,12,95,0,0,0,0
"B03-4147",1-01-01,1,47,4,13,26,0,0,0,-0.1
"B03-4148",1-01-01,1,46,6,11,56,0,0,0,-0.1
"B03-4149",1-01-01,1,40,12,6,26,0,0,6,0
"B03-4150",1-01-01,1,97,16,17,36,0,0,0,0
"B03-4152",1-01-01,1,43,9,5,5,0,0,0,0
"B03-4153",1-01-01,1,6,0,1,1,0,0,0,0
"B03-4154",1-01-01,1,43,4,10,31,0,0,0,0
