"taxon","ToleranceScore","Freq_of_Occ"
"Acteocina culcitella",4.9242949388,33
"Acteocina harpa",-8.353899397,26
"Acuminodeutopus heteruropus",53.563846501,47
"Agnezia septentrionalis",24.127052054,15
"Alderia modesta",50.015981051,8
"Alia carinata",16.675525376,32
"Alienacanthomysis macropsis",-1.348994461,60
"Alpheus bellimanus",25.011625444,2
"Alpheus californiensis",53.596109292,93
"Alpheus clamator",111.91119747,1
"Amaeana occidentalis",-14.49334546,318
"Amathimysis trigibba",16.078051206,3
"Ambidexter panamensis",76.060247142,69
"Ammothea hilgendorfi",27.234295733,3
"Ampelisca agassizi",37.320935319,307
"Ampelisca brachycladus",-18.30195124,134
"Ampelisca brevisimulata",-30.75477799,659
"Ampelisca cristata",-32.31180252,328
"Ampelisca lobata",2.2911243322,16
"Ampharete labrops",-19.74965799,393
"Amphicteis scaphobranchiata",6.3320841065,481
"Amphideutopus oculatus",-0.357155467,794
"Amphiodia sp",8.364538189,1481
"Amphioplus strongyloplax",-14.49412673,18
"Amphipholis squamata",22.699178555,485
"Ampithoe lacertosa",72.064983945,9
"Ampithoe plumulosa",38.31695808,12
"Ampithoe valida",90.964755867,19
"Ancinus granulatus",57.626503462,3
"Ancistrosyllis groenlandica",-28.58464393,52
"Anemonactis sp",45.22162313,68
"Anoplodactylus erectus",55.789747852,290
"Anoplodactylus viridintestinalis",91.22761302,8
"Anoropallene palpida",6.2425394803,22
"Anotomastus gordiodes",15.831572437,96
"Aonides sp",-21.86613245,29
"Aoroides exilis",59.868015293,21
"Aoroides inermis",-4.08537496,30
"Aphelochaeta glandaria Cmplx",101.93158034,93
"Aphelochaeta monilaris",-15.18764008,303
"Aphelochaeta petersenae",145.34380189,46
"Aphelochaeta sp",104.65050285,570
"Aphrodita sp",44.515357128,65
"Apionsoma misakianum",9.9251044105,102
"Apolochus barnardi",2.6031054729,6
"Apoprionospio pygmaea",14.957260228,327
"Arabella sp",40.699138027,24
"Argissa hamatipes",-13.95120688,83
"Argopecten ventricosus",9.6369121589,23
"Aricidea (Acmira) catherinae",-16.99713539,368
"Aricidea (Acmira) horikoshii",-21.04384267,73
"Armandia brevis",7.0739960518,265
"Aruga sp",85.155543148,137
"Ascidiacea",77.776362782,182
"Assiminea californica",81.601635407,4
"Asteropella slatteryi",15.860205822,71
"Asthenothaerus diegensis",9.3968221,166
"Astyris aurantiaca",-28.92525429,24
"Atylus tridens",24.246537979,1
"Axinopsida serricata",3.5907127589,487
"Axiothella sp",-8.469353838,31
"Barleeia sp",21.324529847,128
"Bathyleberis sp",35.651775974,99
"Bemlos macromanus",31.056212716,45
"Betaeus ensenadensis",15.681357182,14
"Bispira sp",33.899451209,20
"Boccardia basilaria",-30.55981783,6
"Boccardiella hamata",89.889539287,30
"Branchiostoma californiense",-6.245776348,20
"Brania sp",9.3747711619,132
"Bulla gouldiana",64.473133089,80
"Bunodeopsis sp A",3.2656266076,8
"Cadulus aberrans",-26.09425503,414
"Caecum californicum",5.1018592734,37
"Caecum crebricinctum",32.346144706,104
"Caecum occidentale",-1.223111054,10
"Calocarides sp",82.324095911,28
"Campylaspis rubromaculata",7.3175507925,65
"Capitella capitata Cmplx",130.84249673,367
"Caprella alaskana",41.752807163,3
"Caprella californica",0.8177704601,133
"Caprella equilibra",9.0439438937,5
"Caprella gracilior",-7.904426445,5
"Caprella mendax",31.254546865,158
"Caprella natalensis",38.682369555,3
"Caprella verrucosa",19.975521561,6
"Carazziella sp",4.8150377324,59
"Caulleriella pacifica",34.047330719,12
"Cerapus tubularis Cmplx",-22.10162491,103
"Ceriantharia",18.784537752,387
"Cerithidea californica",112.84033183,52
"Chaetopterus variopedatus Cmplx",-5.242856578,10
"Chaetozone corona",-9.85128403,345
"Chaetozone setosa Cmplx",7.4728938509,174
"Chione californiensis",50.096547421,24
"Chione undatella",3.8600096233,6
"Chironomidae",138.87288875,7
"Chone albocincta",-16.05150732,160
"Chone duneri",10.607499499,17
"Chone minuta",19.661208466,110
"Chone mollis",-21.65426331,3
"Chone veleronis",-3.938047661,236
"Cirratulus sp",55.640313195,52
"Cirriformia sp",89.043977159,107
"Cirrophorus furcatus",-37.35445764,42
