"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NotomastusAbun","PctSensTaxa"
"B03-3001",1-01-01,1,51,3,0,5.88235294117647
"B03-4000",1-01-01,1,73,8,1,24.6575342465753
"B03-4001",1-01-01,1,13,0,0,0
"B03-4002",1-01-01,1,14,1,0,14.2857142857143
"B03-4003",1-01-01,1,37,2,0,27.027027027027
"B03-4004",1-01-01,1,62,5,0,12.9032258064516
"B03-4005",1-01-01,1,9,0,0,0
"B03-4006",1-01-01,1,82,6,0,19.5121951219512
"B03-4007",1-01-01,1,18,0,0,5.55555555555556
"B03-4008",1-01-01,1,26,11,0,26.9230769230769
"B03-4009",1-01-01,1,19,0,0,0
"B03-4010",1-01-01,1,35,2,1,8.57142857142857
"B03-4012",1-01-01,1,66,15,0,15.1515151515152
"B03-4015",1-01-01,1,78,7,2,17.9487179487179
"B03-4017",1-01-01,1,19,6,0,15.7894736842105
"B03-4018",1-01-01,1,44,6,0,15.9090909090909
"B03-4019",1-01-01,1,44,6,0,20.4545454545455
"B03-4020",1-01-01,1,87,25,12,24.1379310344828
"B03-4021",1-01-01,1,105,4,0,17.1428571428571
"B03-4022",1-01-01,1,109,17,1,14.6788990825688
"B03-4023",1-01-01,1,39,8,0,12.8205128205128
"B03-4024",1-01-01,1,26,4,0,11.5384615384615
"B03-4025",1-01-01,1,1,0,0,0
"B03-4026",1-01-01,1,62,4,0,20.9677419354839
"B03-4027",1-01-01,1,127,9,2,8.66141732283465
"B03-4028",1-01-01,1,55,8,0,20
"B03-4029",1-01-01,1,131,5,4,6.87022900763359
"B03-4030",1-01-01,1,95,14,0,16.8421052631579
"B03-4032",1-01-01,1,8,3,0,0
"B03-4033",1-01-01,1,16,3,1,0
"B03-4034",1-01-01,1,30,3,0,10
"B03-4035",1-01-01,1,33,3,0,15.1515151515152
"B03-4036",1-01-01,1,110,12,0,18.1818181818182
"B03-4037",1-01-01,1,69,8,0,14.4927536231884
"B03-4038",1-01-01,1,46,6,0,13.0434782608696
"B03-4039",1-01-01,1,13,0,0,0
"B03-4040",1-01-01,1,76,13,1,13.1578947368421
"B03-4041",1-01-01,1,85,13,0,15.2941176470588
"B03-4042",1-01-01,1,109,15,0,18.348623853211
"B03-4043",1-01-01,1,46,11,0,21.7391304347826
"B03-4045",1-01-01,1,80,10,0,20
"B03-4047",1-01-01,1,77,11,1,16.8831168831169
"B03-4048",1-01-01,1,76,8,0,10.5263157894737
"B03-4049",1-01-01,1,17,6,0,23.5294117647059
"B03-4050",1-01-01,1,42,13,0,9.52380952380952
"B03-4051",1-01-01,1,102,9,1,9.80392156862745
"B03-4052",1-01-01,1,26,3,0,15.3846153846154
"B03-4053",1-01-01,1,37,5,0,16.2162162162162
"B03-4055",1-01-01,1,45,6,2,26.6666666666667
"B03-4057",1-01-01,1,62,7,0,11.2903225806452
"B03-4058",1-01-01,1,81,13,1,24.6913580246914
"B03-4060",1-01-01,1,9,0,0,0
"B03-4061",1-01-01,1,49,3,0,20.4081632653061
"B03-4062",1-01-01,1,55,8,0,25.4545454545455
"B03-4064",1-01-01,1,100,11,4,18
"B03-4065",1-01-01,1,62,16,4,19.3548387096774
"B03-4066",1-01-01,1,6,1,0,0
"B03-4067",1-01-01,1,66,3,0,13.6363636363636
"B03-4068",1-01-01,1,64,4,0,7.8125
"B03-4069",1-01-01,1,86,12,0,29.0697674418605
"B03-4070",1-01-01,1,78,10,0,11.5384615384615
"B03-4071",1-01-01,1,15,0,0,13.3333333333333
"B03-4072",1-01-01,1,20,7,16,15
"B03-4073",1-01-01,1,117,15,0,18.8034188034188
"B03-4074",1-01-01,1,17,0,0,0
"B03-4075",1-01-01,1,28,5,0,14.2857142857143
"B03-4076",1-01-01,1,36,2,0,19.4444444444444
"B03-4077",1-01-01,1,114,12,0,12.280701754386
"B03-4079",1-01-01,1,48,8,0,14.5833333333333
"B03-4080",1-01-01,1,70,7,0,11.4285714285714
"B03-4083",1-01-01,1,22,1,1,9.09090909090909
"B03-4084",1-01-01,1,35,6,0,31.4285714285714
"B03-4085",1-01-01,1,45,7,3,35.5555555555556
"B03-4086",1-01-01,1,105,11,1,13.3333333333333
"B03-4087",1-01-01,1,20,4,0,20
"B03-4088",1-01-01,1,16,1,0,6.25
"B03-4089",1-01-01,1,87,12,1,11.4942528735632
"B03-4090",1-01-01,1,80,11,0,18.75
"B03-4091",1-01-01,1,9,0,0,0
"B03-4092",1-01-01,1,53,8,3,32.0754716981132
