"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","NIT","scaled_NumTaxa","scaled_NumMolluscTaxa","scaled_NumCrustaceanTaxa","scaled_CrustaceanAbun","TWV","scaled_M_insid","scaled_A_dieg","scaled_G_littor","PIT","Raw_RBI","score","index"
"B03-3001",1-01-01,1,41,3,11,29,0,0,0,0,0.414141414141414,0.107142857142857,0.379310344827586,0.0171293561724749,0.904876955154976,0,0,0,0,0.904876955154976,0.186540928604472,"RBI"
"B03-4000",1-01-01,1,64,8,17,55,0,0,0,0,0.646464646464647,0.285714285714286,0.586206896551724,0.03248670998228,1.52650750622623,0,0,0,0,1.52650750622623,0.319084756124995,"RBI"
"B03-4001",1-01-01,1,6,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0.0606060606060606,0,0,0,0,0.0606060606060606,0.00652581249596175,"RBI"
"B03-4002",1-01-01,1,13,1,4,182,2,0,0,-0.1,0.131313131313131,0.0357142857142857,0.137931034482759,0.107501476668636,0.331833820677335,0.255001193872177,0,0,0.255001193872177,0.741836208421688,0.151777443160275,"RBI"
"B03-4003",1-01-01,1,35,2,15,67,0,0,0,0,0.353535353535354,0.0714285714285714,0.517241379310345,0.0395747194329592,0.95209898413251,0,0,0,0,0.95209898413251,0.196609591499469,"RBI"
"B03-4004",1-01-01,1,36,5,2,3,0,0,0,0,0.363636363636364,0.178571428571429,0.0689655172413793,0.00177200236266982,0.611616310039839,0,0,0,0,0.611616310039839,0.124012006405083,"RBI"
"B03-4005",1-01-01,1,4,0,0,0,0,0,0,0,0.0404040404040404,0,0,0,0.0404040404040404,0,0,0,0,0.0404040404040404,0.00221834550192759,"RBI"
"B03-4006",1-01-01,1,61,6,13,27,0,0,0,0,0.616161616161616,0.214285714285714,0.448275862068966,0.0159480212640284,1.2827101978323,0,0,0,0,1.2827101978323,0.267102387597506,"RBI"
"B03-4007",1-01-01,1,9,0,1,1,0,0,0,0,0.0909090909090909,0,0.0344827586206897,0.000590667454223272,0.125539516393336,0,0,0,0,0.125539516393336,0.020370899017769,"RBI"
"B03-4008",1-01-01,1,25,11,3,240,20,0,0,0,0.252525252525253,0.392857142857143,0.103448275862069,0.141760189013585,0.784270718497861,0.453463372598236,0,0,0.453463372598236,1.69119746369433,0.354199885649111,"RBI"
"B03-4009",1-01-01,1,6,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0.0606060606060606,0,0,0,0,0.0606060606060606,0.00652581249596175,"RBI"
"B03-4010",1-01-01,1,34,2,10,561,0,0,0,-0.2,0.343434343434343,0.0714285714285714,0.344827586206897,0.331364441819256,0.842531611524625,0,0,0,0,0.642531611524625,0.130603755122521,"RBI"
"B03-4012",1-01-01,1,49,15,7,9,0,0,0,0,0.494949494949495,0.535714285714286,0.241379310344828,0.00531600708800945,1.27337209278061,0,0,0,0,1.27337209278061,0.265111320422305,"RBI"
"B03-4015",1-01-01,1,55,7,12,28,0,0,0,0,0.555555555555556,0.25,0.413793103448276,0.0165386887182516,1.22348333118339,0,0,0,0,1.22348333118339,0.254474057821619,"RBI"
"B03-4017",1-01-01,1,19,6,4,295,0,0,0,-0.2,0.191919191919192,0.214285714285714,0.137931034482759,0.174246898995865,0.587697665436631,0,0,0,0,0.387697665436631,0.0762681589417124,"RBI"
"B03-4018",1-01-01,1,43,6,13,123,0,0,0,0,0.434343434343434,0.214285714285714,0.448275862068966,0.0726520968694625,1.11506803491548,0,0,0,0,1.11506803491548,0.231357789960657,"RBI"
"B03-4019",1-01-01,1,33,6,5,7,0,0,0,0,0.333333333333333,0.214285714285714,0.172413793103448,0.00413467217956291,0.721066508767387,0,0,0,0,0.721066508767387,0.147348935771298,"RBI"
"B03-4020",1-01-01,1,85,25,9,45,0,0,0,0,0.858585858585859,0.892857142857143,0.310344827586207,0.0265800354400473,2.06843283788922,0,0,0,0,2.06843283788922,0.434633867353778,"RBI"
"B03-4021",1-01-01,1,84,4,18,75,0,0,0,0,0.848484848484849,0.142857142857143,0.620689655172414,0.0443000590667454,1.62310666128109,0,0,0,0,1.62310666128109,0.339681590891491,"RBI"
"B03-4022",1-01-01,1,80,17,14,33,0,1,0,0,0.808080808080808,0.607142857142857,0.482758620689655,0.019492025989368,1.90285529241066,0,0.438691337650831,0,0.438691337650831,2.78023796771232,0.586404683947191,"RBI"
"B03-4023",1-01-01,1,34,8,4,4,0,0,0,0,0.343434343434343,0.285714285714286,0.137931034482759,0.00236266981689309,0.767670331085611,0,0,0,0,0.767670331085611,0.157285784879661,"RBI"
"B03-4024",1-01-01,1,18,4,1,1,0,0,0,0,0.181818181818182,0.142857142857143,0.0344827586206897,0.000590667454223272,0.35930575015957,0,0,0,0,0.35930575015957,0.0702144456630214,"RBI"
"B03-4025",1-01-01,1,1,0,0,0,0,0,0,0,0.0101010101010101,0,0,0,0.0101010101010101,0,0,0,0,0.0101010101010101,-0.00424285498912364,"RBI"
